reference,doi,species,treatment,replicate,t,p_mean,p_sd,n,source
de Bettignies et al. 2020,10.1111/jpy.13041,Laminaria hyperborea,Senescent Experiment 2,NA,128,0.503373832,NA,1,Data
de Bettignies et al. 2020,10.1111/jpy.13041,Laminaria hyperborea,Senescent Experiment 2,NA,128,0.537037383,NA,1,Data
de Bettignies et al. 2020,10.1111/jpy.13041,Laminaria hyperborea,Senescent Experiment 2,NA,128,0.5598,NA,1,Data
de Bettignies et al. 2020,10.1111/jpy.13041,Laminaria hyperborea,Senescent Experiment 2,NA,128,0.543185185,NA,1,Data
de Bettignies et al. 2020,10.1111/jpy.13041,Laminaria hyperborea,Senescent Experiment 2,NA,128,0.587550459,NA,1,Data
de Bettignies et al. 2020,10.1111/jpy.13041,Laminaria hyperborea,Senescent Experiment 2,NA,178,0.125971698,NA,1,Data
de Bettignies et al. 2020,10.1111/jpy.13041,Laminaria hyperborea,Senescent Experiment 2,NA,178,0.050425926,NA,1,Data
de Bettignies et al. 2020,10.1111/jpy.13041,Laminaria hyperborea,Senescent Experiment 2,NA,178,0.286574257,NA,1,Data
de Bettignies et al. 2020,10.1111/jpy.13041,Laminaria hyperborea,Senescent Experiment 2,NA,178,0.188634615,NA,1,Data
de Bettignies et al. 2020,10.1111/jpy.13041,Laminaria hyperborea,Senescent Experiment 2,NA,178,0.094943925,NA,1,Data
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,1,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,2,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,3,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,4,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,5,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,6,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,7,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,8,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,9,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,10,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,11,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,12,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,13,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,14,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,15,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,16,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,17,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,18,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,19,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,20,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,21,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,22,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,23,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,24,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,25,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,26,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,27,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,28,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,29,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,30,0,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,1,7,0.983539095,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,2,7,0.982222222,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,3,7,0.987620358,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,4,7,0.987844408,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,5,7,0.958839406,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,6,7,0.981854839,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,7,7,0.989051095,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,8,7,0.993951613,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,9,7,0.9296875,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,10,7,0.986111111,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,11,7,0.961787565,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,12,7,0.950083195,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,13,7,0.983590734,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,14,7,0.225575854,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,15,7,0.768211921,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,16,7,0.974657534,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,17,7,0.983686786,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,18,7,0.980938416,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,19,7,0.985099338,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,20,7,0.961931291,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,21,7,0.988717949,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,22,7,0.904530744,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,23,7,0.988110964,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,24,7,0.987730061,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,25,7,0.944177093,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,26,7,0.997590361,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,27,7,0.958236659,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,28,7,0.968636032,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,29,7,0.988715278,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,30,7,0.854875283,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,1,14,0.983081847,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,2,14,0.977777778,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,3,14,0.975240715,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,4,14,0.977309562,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,5,14,0.944669366,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,6,14,0.941532258,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,7,14,0.982360097,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,8,14,0.993951613,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,9,14,0.27890625,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,10,14,0.981481482,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,11,14,0.827609428,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,12,14,0.613144759,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,13,14,0.976833977,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,14,14,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,15,14,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,16,14,1,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,17,14,1.016313214,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,18,14,0.999266862,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,19,14,1.022350993,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,20,14,0.96007428,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,21,14,0.928205128,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,22,14,0.905339806,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,23,14,0.991413474,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,24,14,0.997699387,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,25,14,0.89412897,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,26,14,0.993574297,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,27,14,0.94199536,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,28,14,0.956236324,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,29,14,0.987847222,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,30,14,0.775510204,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,1,21,0.998171011,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,2,21,0.988148148,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,3,21,0.989683631,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,4,21,0.998379255,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,5,21,0.960188934,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,6,21,0.610887097,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,7,21,0.982360097,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,8,21,0.984375,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,9,21,0.134375,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,10,21,0.970679012,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,11,21,0.102331606,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,12,21,0.358569052,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,13,21,0.953667954,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,14,21,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,15,21,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,16,21,1.057534247,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,17,21,1.052202284,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,18,21,1.053519062,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,19,21,1.089403974,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,20,21,0.959145775,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,21,21,0.841025641,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,22,21,0.931229774,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,23,21,1.014531044,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,24,21,1.025306748,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,25,21,0.914340712,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,26,21,0.963855422,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,27,21,0.895591647,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,28,21,0.937272064,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,29,21,0.979166667,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,30,21,0.468253968,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,1,27,0.997713763,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,2,27,0.985925926,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,3,27,0.985557084,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,4,27,0.995137763,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,5,27,0.960188934,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,6,27,0.329133065,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,7,27,0.98053528,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,8,27,0.986895161,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,9,27,0.10234375,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,10,27,0.93287037,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,11,27,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,12,27,0.201331115,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,13,27,0.953667954,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,14,27,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,15,27,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,16,27,0.993150685,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,17,27,1.065252855,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,18,27,1.070381232,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,19,27,1.105960265,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,20,27,0.951717734,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,21,27,0.826666667,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,22,27,0.949838188,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,23,27,1.027741083,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,24,27,1.045245399,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,25,27,0.948026949,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,26,27,0.934136546,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,27,27,0.658159319,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,28,27,0.934354486,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,29,27,0.977430556,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,30,27,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,1,47,1.014631916,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,2,47,1.017777778,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,3,47,1.009628611,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,4,47,1.021880065,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,5,47,0.983805668,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,6,47,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,7,47,1.00973236,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,8,47,1.025705645,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,9,47,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,10,47,0.942901235,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,11,47,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,12,47,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,13,47,0.838803089,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,14,47,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,15,47,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,16,47,0.98630137,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,17,47,1.067699837,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,18,47,1.055718475,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,19,47,1.197019868,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,0m,20,47,0.987000929,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,21,47,0.786666667,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,22,47,0.99433657,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,23,47,1.07992074,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,24,47,1.097392638,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,15m,25,47,1.038498556,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,26,47,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,27,47,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,28,47,0.895696572,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,29,47,0.986979167,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria ochroleuca,30m,30,47,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,1,99,0.934156379,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,2,99,1.018518519,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,3,99,0.972489684,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,4,99,0.927876823,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,0m,5,99,1.007422402,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,6,99,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,7,99,1.01459854,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,8,99,1.032762097,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,9,99,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,15m,10,99,0.958333333,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,11,99,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,12,99,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,13,99,0,NA,1,"Data, Figure 2"
Frontier et al. 2021,10.1016/j.marenvres.2021.105277,Laminaria hyperborea,30m,14,99,0,NA,1,"Data, Figure 2"
